mrank,name,year
69,Danica Patrick,2007
70,Stacy Keibler,2007
71,Willa Ford,2007
72,Ciara,2007
73,Mena Suvari,2007
74,Tara Conner,2007
75,April Scott,2007
76,Diora Baird,2007
77,Hilarie Burton,2007
78,Joss Stone,2007
79,Adrianne Palicki,2007
80,Abbie Cornish,2007
81,Emmanuelle Chriqui,2007
82,Dita Von Teese,2007
83,Ivanka Trump,2007
84,Hometown Hottie,2007
85,Kelly Ripa,2007
86,Michelle Trachtenberg,2007
87,Raquel Alessi,2007
88,Haylie Duff,2007
89,Salma Hayek,2007
90,Isla Fisher,2007
91,Mary Elizabeth Winstead,2007
92,Christina Milian,2007
93,Kelly Carlson,2007
94,Second Life Girl,2007
95,Shanna Moakler,2007
96,Kim Kardashian,2007
97,Yunjin Kim,2007
98,Mía Maestro,2007
99,Noureen Dewulf,2007
1,Marisa Miller,2008
2,Scarlett Johansson,2008
3,Jessica Biel,2008
4,Eva Longoria,2008
5,Sarah Michelle Gellar,2008
6,Elisha Cuthbert,2008
7,Eva Mendes,2008
8,Christina Aguilera,2008
9,Lindsay Lohan,2008
10,Ashley Tisdale,2008
11,Charlize Theron,2008
12,Vanessa Hudgens,2008
13,Hayden Panettiere,2008
14,Beyonce,2008
15,Rihanna,2008
16,Megan Fox,2008
17,The Pussycat Dolls,2008
18,Ashlee Simpson,2008
19,Britney Spears,2008
20,Jennifer Love Hewitt,2008
21,Amber Heard,2008
22,Mischa Barton,2008
23,Jaime King,2008
24,Avril Lavigne,2008
25,Hilary Duff,2008
26,Cameron Diaz,2008
27,Sienna Miller,2008
28,Rachel Bilson,2008
29,Shannon Elizabeth,2008
30,Julianne Hough,2008
31,Molly Sims,2008
32,Lake Bell,2008
33,Heidi Klum,2008
34,Jessica Alba,2008
35,Fergie,2008
36,Heidi Montag,2008
37,Ashanti,2008
38,Eliza Dushku,2008
39,Sofia Vergara,2008
40,Drew Barrymore,2008
41,Nadine Velazquez,2008
42,Zoe Saldana,2008
43,Blake Lively,2008
44,Jennifer Garner,2008
45,Danneel Harris,2008
